ID,FACILITY
1,Adelaide Place Parkett
2,Agincourt Park
3,Alan - Oxford Parkette
4,Arena Gardens
5,Barkdene Park
6,Baycrest Park
7,Beaumonde Heights Park
8,Centennial Park - Etobicoke
9,Centennial Park - Scarborough
10,Centre Park
11,Danforth Gardens Park
12,Davenport Village Park
13,David A. Balfour Park
14,David Crombie Park
15,East Toronto Athletic Field
16,Eastdale Parkette
17,Eastdale Playground
18,Finch Parkette
19,Finch-Islington Park
20,Fiona Nelson Parkette
21,Green Meadows Park - Etobicoke York
22,Green Meadows Park - North York
23,Greenbelt Park
24,Greenbrae Parkette
